site_no,datetime,discharge_va,discharge_va_cd
8097500,10/1/1938,122,A
8097500,10/2/1938,122,A
8097500,10/3/1938,112,A
8097500,10/4/1938,101,A
8097500,10/5/1938,101,A
8097500,10/6/1938,97,A
8097500,10/7/1938,94,A
8097500,10/8/1938,90,A
8097500,10/9/1938,87,A
8097500,10/10/1938,85,A
8097500,10/11/1938,81,A
8097500,10/12/1938,81,A
8097500,10/13/1938,81,A
8097500,10/14/1938,81,A
8097500,10/15/1938,81,A
8097500,10/16/1938,91,A
8097500,10/17/1938,85,A
8097500,10/18/1938,81,A
8097500,10/19/1938,81,A
8097500,10/20/1938,78,A
8097500,10/21/1938,75,A
8097500,10/22/1938,74,A
8097500,10/23/1938,73,A
8097500,10/24/1938,73,A
8097500,10/25/1938,73,A
8097500,10/26/1938,72,A
8097500,10/27/1938,72,A
8097500,10/28/1938,73,A
8097500,10/29/1938,73,A
8097500,10/30/1938,75,A
8097500,10/31/1938,76,A
8097500,11/1/1938,77,A
8097500,11/2/1938,78,A
8097500,11/3/1938,80,A
8097500,11/4/1938,80,A
8097500,11/5/1938,81,A
8097500,11/6/1938,82,A
8097500,11/7/1938,84,A
8097500,11/8/1938,87,A
8097500,11/9/1938,91,A
8097500,11/10/1938,91,A
8097500,11/11/1938,101,A
8097500,11/12/1938,122,A
8097500,11/13/1938,175,A
8097500,11/14/1938,164,A
8097500,11/15/1938,133,A
8097500,11/16/1938,122,A
8097500,11/17/1938,101,A
8097500,11/18/1938,90,A
8097500,11/19/1938,88,A
8097500,11/20/1938,86,A
8097500,11/21/1938,86,A
8097500,11/22/1938,85,A
8097500,11/23/1938,84,A
8097500,11/24/1938,83,A
8097500,11/25/1938,82,A
8097500,11/26/1938,82,A
8097500,11/27/1938,82,A
8097500,11/28/1938,84,A
8097500,11/29/1938,88,A
8097500,11/30/1938,92,A
8097500,12/1/1938,92,A
8097500,12/2/1938,92,A
8097500,12/3/1938,92,A
8097500,12/4/1938,90,A
8097500,12/5/1938,87,A
8097500,12/6/1938,84,A
8097500,12/7/1938,80,A
8097500,12/8/1938,78,A
8097500,12/9/1938,77,A
8097500,12/10/1938,77,A
8097500,12/11/1938,77,A
8097500,12/12/1938,75,A
8097500,12/13/1938,73,A
8097500,12/14/1938,73,A
8097500,12/15/1938,67,A
8097500,12/16/1938,65,A
8097500,12/17/1938,75,A
8097500,12/18/1938,79,A
8097500,12/19/1938,71,A
8097500,12/20/1938,67,A
8097500,12/21/1938,71,A
8097500,12/22/1938,89,A
8097500,12/23/1938,127,A
8097500,12/24/1938,127,A
8097500,12/25/1938,127,A
8097500,12/26/1938,120,A
8097500,12/27/1938,110,A
8097500,12/28/1938,105,A
8097500,12/29/1938,105,A
8097500,12/30/1938,105,A
8097500,12/31/1938,110,A
8097500,1/1/1939,105,A
8097500,1/2/1939,105,A
8097500,1/3/1939,105,A
8097500,1/4/1939,107,A
8097500,1/5/1939,105,A
8097500,1/6/1939,107,A
8097500,1/7/1939,107,A
8097500,1/8/1939,107,A
8097500,1/9/1939,112,A
8097500,1/10/1939,124,A
8097500,1/11/1939,910,A
8097500,1/12/1939,2030,A
8097500,1/13/1939,2310,A
8097500,1/14/1939,2600,A
8097500,1/15/1939,2750,A
8097500,1/16/1939,2900,A
8097500,1/17/1939,2600,A
8097500,1/18/1939,2100,A
8097500,1/19/1939,1750,A
8097500,1/20/1939,1560,A
8097500,1/21/1939,1260,A
8097500,1/22/1939,1050,A
8097500,1/23/1939,870,A
8097500,1/24/1939,735,A
8097500,1/25/1939,735,A
8097500,1/26/1939,618,A
8097500,1/27/1939,580,A
8097500,1/28/1939,510,A
8097500,1/29/1939,480,A
8097500,1/30/1939,450,A
8097500,1/31/1939,398,A
8097500,2/1/1939,375,A
8097500,2/2/1939,333,A
8097500,2/3/1939,314,A
8097500,2/4/1939,280,A
8097500,2/5/1939,280,A
8097500,2/6/1939,264,A
8097500,2/7/1939,264,A
8097500,2/8/1939,264,A
8097500,2/9/1939,254,A
8097500,2/10/1939,240,A
8097500,2/11/1939,225,A
8097500,2/12/1939,210,A
8097500,2/13/1939,195,A
8097500,2/14/1939,180,A
8097500,2/15/1939,162,A
8097500,2/16/1939,197,A
8097500,2/17/1939,1520,A
8097500,2/18/1939,3240,A
8097500,2/19/1939,3410,A
8097500,2/20/1939,3070,A
8097500,2/21/1939,2600,A
8097500,2/22/1939,1410,A
8097500,2/23/1939,825,A
8097500,2/24/1939,233,A
8097500,2/25/1939,235,A
8097500,2/26/1939,878,A
8097500,2/27/1939,4700,A
8097500,2/28/1939,7480,A
8097500,3/1/1939,4230,A
8097500,3/2/1939,395,A
8097500,3/3/1939,350,A
8097500,3/4/1939,330,A
8097500,3/5/1939,1200,A
8097500,3/6/1939,500,A
8097500,3/7/1939,350,A
8097500,3/8/1939,315,A
8097500,3/9/1939,300,A
8097500,3/10/1939,590,A
8097500,3/11/1939,1360,A
8097500,3/12/1939,280,A
8097500,3/13/1939,221,A
8097500,3/14/1939,221,A
8097500,3/15/1939,235,A
8097500,3/16/1939,210,A
8097500,3/17/1939,213,A
8097500,3/18/1939,180,A
8097500,3/19/1939,180,A
8097500,3/20/1939,160,A
8097500,3/21/1939,170,A
8097500,3/22/1939,152,A
8097500,3/23/1939,142,A
8097500,3/24/1939,186,A
8097500,3/25/1939,172,A
8097500,3/26/1939,2610,A
8097500,3/27/1939,1340,A
8097500,3/28/1939,333,A
8097500,3/29/1939,315,A
8097500,3/30/1939,295,A
8097500,3/31/1939,280,A
8097500,4/1/1939,285,A
8097500,4/2/1939,275,A
8097500,4/3/1939,270,A
8097500,4/4/1939,260,A
8097500,4/5/1939,270,A
8097500,4/6/1939,285,A
8097500,4/7/1939,280,A
8097500,4/8/1939,270,A
8097500,4/9/1939,265,A
8097500,4/10/1939,256,A
8097500,4/11/1939,250,A
8097500,4/12/1939,248,A
8097500,4/13/1939,270,A
8097500,4/14/1939,295,A
8097500,4/15/1939,325,A
8097500,4/16/1939,352,A
8097500,4/17/1939,892,A
8097500,4/18/1939,1440,A
8097500,4/19/1939,588,A
8097500,4/20/1939,905,A
8097500,4/21/1939,1500,A
8097500,4/22/1939,962,A
8097500,4/23/1939,780,A
8097500,4/24/1939,618,A
8097500,4/25/1939,545,A
8097500,4/26/1939,847,A
8097500,4/27/1939,1070,A
8097500,4/28/1939,580,A
8097500,4/29/1939,450,A
8097500,4/30/1939,314,A
8097500,5/1/1939,249,A
8097500,5/2/1939,280,A
8097500,5/3/1939,280,A
8097500,5/4/1939,249,A
8097500,5/5/1939,221,A
8097500,5/6/1939,216,A
8097500,5/7/1939,221,A
8097500,5/8/1939,1600,A
8097500,5/9/1939,1440,A
8097500,5/10/1939,780,A
8097500,5/11/1939,297,A
8097500,5/12/1939,216,A
8097500,5/13/1939,199,A
8097500,5/14/1939,208,A
8097500,5/15/1939,199,A
8097500,5/16/1939,157,A
8097500,5/17/1939,15900,A
8097500,5/18/1939,41500,A
8097500,5/19/1939,22800,A
